|COD_COL|COLE_INST_NOMBRE|COLE_DEPTO_COLEGIO|COLE_CALENDARIO_COLEGIO|COLE_GENEROPOBLACION|EVALUADOS_ULTIMOS_3|COLE_NATURALEZA|INDICE_MATEMATICAS|INDICE_C_NATURALES|INDICE_SOCIALES_CIUDADANAS|INDICE_LECTURA_CRITICA|INDICE_INGLES|INDICE_TOTAL|COLE_CATEGORIA|NOMBRE_DEPARTAMENTO|NOMBRE_MUNICIPIO|ZONA|LATITUD|LONGITUD|MODE_ESTRATOVIVIENDA|IND_EST_TRAB|MODE_EDU_MADRE|MODE_EDU_PADRE|IND_BILINGUE|CARACTER_IE|INDICE_AJUST|Cluster
536|105042000732|I. E. ARTURO VELASQUEZ ORTIZ|ANTIOQUIA|A|MI|143|OFICIAL|0.6383|0.6501|0.649|0.6862|0.633|0.6541|C|ANTIOQUIA|SANTAFE DE ANTIOQUIA|Urbano|6.551420452|-75.82457866|Estrato 1|0|Secundaria (Bachillerato) completa|Primaria incompleta|N|ACADEMICO|0.42179648691658456|0
537|305001003785|COL MILIT JOSE MARIA CORDOBA|ANTIOQUIA|A|MI|190|NO OFICIAL|0.7171|0.7187|0.7086|0.7345|0.7322|0.7207|A|ANTIOQUIA|MEDELLIN|Urbano|6.2478778939650095|-75.56424738285659|Estrato 3|0|Secundaria (Bachillerato) completa|Secundaria (Bachillerato) completa|N|ACADEMICO|0.5329631988430084|2
538|105034000014|I. E. SAN JUAN DE LOS ANDES|ANTIOQUIA|A|MI|154|OFICIAL|0.7805|0.7608|0.7627|0.7714|0.7085|0.7642|A|ANTIOQUIA|ANDES|Urbano|5.6573997163|-75.87788204|Estrato 2|0|Secundaria (Bachillerato) completa|Primaria incompleta|None|TECNICO/ACADEMICO|0.4801102786462943|3
539|105002000055|I. E.  MANUEL CANUTO RESTREPO|ANTIOQUIA|A|MI|77|OFICIAL|0.6709|0.6826|0.6487|0.6884|0.6444|0.6705|B|ANTIOQUIA|ABEJORRAL|Urbano|5.787532081|-75.432343|Estrato 2|1|Primaria incompleta|Primaria incompleta|N|TECNICO/ACADEMICO|0.2693033763537268|3
540|105002000055|I. E.  MANUEL CANUTO RESTREPO|ANTIOQUIA|A|MI|36|OFICIAL|0.6081|0.6525|0.6271|0.6825|0.6305|0.6416|C|ANTIOQUIA|ABEJORRAL|Urbano|5.787532081|-75.432343|Estrato 2|1|Primaria incompleta|Primaria incompleta|N|TECNICO/ACADEMICO|0.13787969841791825|3
541|205237000081|I. E. R. BENILDA VALENCIA|ANTIOQUIA|A|MI|29|OFICIAL|0.6737|0.6769|0.6616|0.6909|0.6636|0.6748|B|ANTIOQUIA|DON MATIAS|Rural|6.457615884|-75.43419763|Estrato 3|1|Primaria completa|Secundaria (Bachillerato) completa|N|ACADEMICO|0.11622922429698163|2
542|105837003870|I.E. SANTA FE|ANTIOQUIA|A|MI|118|OFICIAL|0.578|0.5903|0.5648|0.6325|0.5633|0.5892|D|ANTIOQUIA|TURBO|Urbano|8.097009428|-76.73792984|Estrato 1|0|Secundaria (Bachillerato) completa|Secundaria (Bachillerato) completa|N|TECNICO/ACADEMICO|0.35050293608466476|0
543|205837000042|I.E. SAN JOSE DE MULATOS|ANTIOQUIA|A|MI|61|OFICIAL|0.5664|0.5948|0.565|0.6185|0.5661|0.5846|D|ANTIOQUIA|TURBO|Rural|8.371701335|-76.48478272|Estrato 1|1|Primaria incompleta|Primaria incompleta|None|TECNICO/ACADEMICO|0.2083986814455761|0
544|105001002895|INST EDUC FRANCISCO ANTONIO ZEA|ANTIOQUIA|A|MI|391|OFICIAL|0.7325|0.7281|0.7196|0.7559|0.7338|0.7340000000000001|A|ANTIOQUIA|MEDELLIN|Urbano|6.24382227300003|-75.60372154|Estrato 3|0|Secundaria (Bachillerato) completa|Secundaria (Bachillerato) completa|N|ACADEMICO|0.7889701862429137|2
545|105001013145|INST EDUC SANTA TERESA|ANTIOQUIA|A|MI|205|OFICIAL|0.7715|0.7499|0.7641|0.7773|0.7305|0.763|A|ANTIOQUIA|MEDELLIN|Urbano|6.301235190000059|-75.556124913|Estrato 2|0|Secundaria (Bachillerato) completa|Secundaria (Bachillerato) completa|N|ACADEMICO|0.5751286844321222|5
546|205364000171|I. E.  DE DESARROLLO RURAL MIGUEL VALENCIA|ANTIOQUIA|A|MI|114|OFICIAL|0.6412|0.6575|0.6263|0.6743|0.5755|0.6441|C|ANTIOQUIA|JARDIN|Rural|5.591111|-75.841111|Estrato 2|0|Primaria completa|Primaria incompleta|N|TECNICO/ACADEMICO|0.3566491527115384|3
547|105576000096|I. E. EL SALVADOR|ANTIOQUIA|A|MI|125|OFICIAL|0.7090000000000001|0.7166|0.7035|0.7343|0.7004|0.7147|B|ANTIOQUIA|PUEBLORRICO|Urbano|5.790881386000001|-75.83681614|Estrato 2|0|Secundaria (Bachillerato) completa|Primaria incompleta|N|ACADEMICO|0.40150187967415174|5
548|105576000096|I. E. EL SALVADOR|ANTIOQUIA|A|MI|43|OFICIAL|0.5162|0.5872|0.5461|0.5981|0.5755|0.5629|D|ANTIOQUIA|PUEBLORRICO|Urbano|5.790881386000001|-75.83681614|Estrato 2|0|Secundaria (Bachillerato) completa|Primaria incompleta|N|ACADEMICO|0.15177495865416057|5
549|105607000022|I. E. IGNACIO BOTERO VALLEJO|ANTIOQUIA|A|MI|219|OFICIAL|0.7119|0.7177|0.6736|0.7217|0.7141|0.7068|B|ANTIOQUIA|RETIRO|Urbano|6.062321471000001|-75.50201282|Estrato 3|0|Secundaria (Bachillerato) completa|Primaria incompleta|N|ACADEMICO|0.5747519046820463|2
550|105001013013|INSTITUCION EDUCATIVA EL PICACHITO|ANTIOQUIA|A|MI|62|OFICIAL|0.7492|0.7485|0.7390000000000001|0.7517|0.7297|0.7458|A|ANTIOQUIA|MEDELLIN|Urbano|6.3002601210000595|-75.5848670829999|Estrato 1|0|Secundaria (Bachillerato) incompleta|Secundaria (Bachillerato) incompleta|N|ACADEMICO|0.23823305204848427|0
551|105001007439|INST EDUC PEDRO CLAVER AGUIRRE|ANTIOQUIA|A|MI|110|OFICIAL|0.6649|0.6545|0.6426|0.7072|0.6415|0.6653|C|ANTIOQUIA|MEDELLIN|Urbano|6.29051187000005|-75.571259775|Estrato 3|0|Secundaria (Bachillerato) incompleta|Secundaria (Bachillerato) completa|N|ACADEMICO|0.35300089105252863|2
552|105001005878|INST EDUC FRANCISCO MIRANDA|ANTIOQUIA|A|MI|227|OFICIAL|0.6982|0.6861|0.6718|0.7318|0.6988|0.6971|B|ANTIOQUIA|MEDELLIN|Urbano|6.27417964200004|-75.563557526|Estrato 2|0|Secundaria (Bachillerato) completa|Secundaria (Bachillerato) completa|N|ACADEMICO|0.5827306337837902|5
553|205604001014|I. E. R. PABLO VI|ANTIOQUIA|A|MI|69|OFICIAL|0.5971|0.6107|0.5962|0.6312|0.5693|0.6058|D|ANTIOQUIA|REMEDIOS|Rural|7.0274187312|-74.68700346|Estrato 1|0|Secundaria (Bachillerato) completa|Primaria incompleta|N|TECNICO/ACADEMICO|0.23460843356340072|0
