Cod_Col;Nombre;Latitud;Longitud;Departamento;Municipio;Sector;Estrato;Naturaleza;Calendario;Genero;Categoria;Total;Matematica;Ciencias_Naturales;Ciencias_Sociales;Lectura_critica;Ingles;Cluster
205234000510;I. E. R. SAN RAFAEL;7.000278;-76.036667;ANTIOQUIA;DABEIBA;Rural;Estrato 1;OFICIAL;A;MIXTO;D;0.5363;0.4963;0.5384;0.5351;0.5772;0.5307;6
205234001672;I. E. R. INDIGENISTA LLANO GORDO;7.085;-76.288889;ANTIOQUIA;DABEIBA;Rural;Estrato 1;OFICIAL;A;MIXTO;D;0.477;0.4289;0.4972;0.4673;0.5087;0.4943;2
205237000031;I. E.R.PBRO ANTONIO JOSE CADAVID;6.54104058;-75.28487614;ANTIOQUIA;DONMATÕAS;Rural;Estrato 2;OFICIAL;A;MIXTO;B;0.685;0.6763;0.68;0.7018;0.7133;0.5911;0
205237000081;I. E. R. BENILDA VALENCIA;6.457615884;-75.43419763;ANTIOQUIA;DONMATÕAS;Rural;Estrato 3;OFICIAL;A;MIXTO;B;0.6748;0.6737;0.6769;0.6616;0.6909;0.6636;4
205240000106;I. E. R. BOYACA;6.340475194;-75.73278385;ANTIOQUIA;EB…JICO;Rural;Estrato 1;OFICIAL;A;MIXTO;B;0.6795;0.6862;0.6792;0.6549;0.719;0.6153;2
205240000351;I. E. PRESBITERO GABRIEL YEPES YEPES;6.326200808;-75.76417548;ANTIOQUIA;EB…JICO;Rural;Estrato 1;OFICIAL;A;MIXTO;B;0.6778;0.6886;0.6547;0.6678;0.7168;0.6278;2
205240000742;I. E. R. SAN PIO X;6.30791465;-75.75467549;ANTIOQUIA;EB…JICO;Rural;Estrato 1;OFICIAL;A;MIXTO;D;0.6032;0.5846;0.6151;0.5858;0.6422;0.5579;6
205250000023;I. E. R. PUERTO CLAVER;7.712498968;-74.7515557;ANTIOQUIA;EL BAGRE;Rural;Estrato 1;OFICIAL;A;MIXTO;D;0.5873;0.5722;0.5825;0.5742;0.6312;0.5547;2
205266000392;INSTITUCION EDUCATIVA LAS PALMAS;6.152875287;-75.53248088;ANTIOQUIA;ENVIGADO;Rural;Estrato 2;OFICIAL;A;MIXTO;B;0.6957;0.6726;0.6932;0.6978;0.7186;0.6969;1
205282000165;I. E. R. PALOMOS;5.969322674;-75.67762254;ANTIOQUIA;FREDONIA;Rural;Estrato 3;OFICIAL;A;MIXTO;B;0.6862;0.6639;0.6686;0.6935;0.7255;0.666;2
205282000441;I. E. R. MURRAPAL;5.902222;-75.698056;ANTIOQUIA;FREDONIA;Rural;Estrato 1;OFICIAL;A;MIXTO;D;0.617;0.5966;0.6317;0.5951;0.6584;0.5752;2
205282000475;I. E. R.  EDELMIRA  ALVAREZ;5.892214753;-75.65638396;ANTIOQUIA;FREDONIA;Rural;Estrato 1;OFICIAL;A;MIXTO;C;0.6223;0.6023;0.6244;0.6254;0.6383;0.6183;6
205282000483;I. E. R. JOSE MARIA OBANDO;5.933889;-75.660556;ANTIOQUIA;FREDONIA;Rural;Estrato 2;OFICIAL;A;MIXTO;B;0.6833;0.6706;0.6612;0.6847;0.7296;0.6453;0
205282000513;I. E. DE MINAS;5.898889;-75.7375;ANTIOQUIA;FREDONIA;Rural;Estrato 2;OFICIAL;A;MIXTO;D;0.6145;0.5956;0.6207;0.5958;0.64;0.632;0
205282000602;I. E. LLANO GRANDE;5.86377246;-75.6877057;ANTIOQUIA;FREDONIA;Rural;Estrato 2;OFICIAL;A;MIXTO;D;0.5975;0.5318;0.6095;0.606;0.6378;0.6121;0
205284000120;I. E. R. NOBOGACITA;6.818056;-76.207222;ANTIOQUIA;FRONTINO;Rural;Estrato 1;OFICIAL;A;MIXTO;C;0.6564;0.6646;0.6414;0.6351;0.7004;0.6087;5
205284000162;I. E. R. LA BLANQUITA DEL MURRI;6.745007761;-76.36667327;ANTIOQUIA;FRONTINO;Rural;Estrato 1;OFICIAL;A;MIXTO;D;0.614;0.6184;0.6306;0.5751;0.6453;0.5731;2
205284000464;I. E. R. GABRIELA WHITE DE VELEZ;6.805902614;-76.2465026;ANTIOQUIA;FRONTINO;Rural;Estrato 1;OFICIAL;A;MIXTO;C;0.6498;0.6318;0.6515;0.6416;0.6817;0.628;5
205306000099;I.E.R. SANTA ROSA DE LIMA;6.693213546;-75.94916151;ANTIOQUIA;GIRALDO;Rural;Estrato 1;OFICIAL;A;MIXTO;C;0.6428;0.6187;0.6541;0.6299;0.675;0.6232;2
205308000312;I.E.R. NUESTRA SE—ORA DEL CARMEN;6.375;-75.422222;ANTIOQUIA;GIRARDOTA;Rural;Estrato 2;OFICIAL;A;MIXTO;C;0.6272;0.6383;0.6319;0.5879;0.6661;0.5813;0
205308000452;I. E. SAN ANDRES;6.399754126;-75.43991778;ANTIOQUIA;GIRARDOTA;Rural;Estrato 2;OFICIAL;A;MIXTO;A;0.7299;0.7222;0.7288;0.7252;0.7505;0.708;0
205310000354;I. E. R. EL SALTO;6.784101823;-75.23852511;ANTIOQUIA;G”MEZ PLATA;Rural;Estrato 2;OFICIAL;A;MIXTO;C;0.6509;0.6616;0.641;0.624;0.6818;0.6366;0
205318000167;I. E. ROMERAL;6.305355363;-75.45768552;ANTIOQUIA;GUARNE;Rural;Estrato 2;OFICIAL;A;MIXTO;B;0.6939;0.686;0.7061;0.6715;0.7186;0.6736;0
205318000183;I. E. R. PIEDRAS BLANCAS;6.276373527;-75.47028477;ANTIOQUIA;GUARNE;Rural;Estrato 2;OFICIAL;A;MIXTO;B;0.6976;0.6954;0.7074;0.675;0.7212;0.6726;0
205318000302;I.E.R. EZEQUIEL SIERRA;6.316384164;-75.40646762;ANTIOQUIA;GUARNE;Rural;Estrato 2;OFICIAL;A;MIXTO;B;0.697;0.6906;0.6976;0.6993;0.7157;0.6513;0
205318000345;I.E.R. HOJAS ANCHAS;6.240595952;-75.42539766;ANTIOQUIA;GUARNE;Rural;Estrato 2;OFICIAL;A;MIXTO;B;0.6769;0.6636;0.684;0.6711;0.695;0.6588;0
205318000451;I. E. R. CHAPARRAL;6.227425635;-75.40109147;ANTIOQUIA;GUARNE;Rural;Estrato 2;OFICIAL;A;MIXTO;B;0.7031;0.7074;0.7071;0.69;0.7208;0.6643;0
205347000095;I. E. R. ALTO DEL CORRAL;6.209107394;-75.77527483;ANTIOQUIA;HELICONIA;Rural;Estrato 2;OFICIAL;A;MIXTO;C;0.6476;0.617;0.6407;0.6618;0.6842;0.6075;0
205347000109;I. E. R. HECTOR HIGINIO BEDOYA VARGAS;6.168024612;-75.72138896;ANTIOQUIA;HELICONIA;Rural;Estrato 1;OFICIAL;A;MIXTO;D;0.6195;0.5936;0.6206;0.6122;0.6568;0.6041;5
205360000151;I.E. LOS GOMEZ;6.190601578;-75.61139154;ANTIOQUIA;ITAG‹Õ;Rural;Estrato 1;OFICIAL;A;MIXTO;C;0.6601;0.6464;0.6523;0.6463;0.7008;0.6441;2
205360001254;I.E. MARIA JOSEFA ESCOBAR;6.188864572;-75.61581734;ANTIOQUIA;ITAG‹Õ;Rural;Estrato 2;OFICIAL;A;MIXTO;B;0.6741;0.6497;0.6675;0.6608;0.722;0.6636;1
205361000197;I. E. JESUS MARIA VALLE JARAMILLO;7.290709371;-75.72284859;ANTIOQUIA;ITUANGO;Rural;Estrato 1;OFICIAL;A;MIXTO;D;0.5912;0.5598;0.6039;0.5673;0.6329;0.5944;2
205361000324;I. E. R. JOSE FELIX DE RESTREPO;7.243611;-75.777778;ANTIOQUIA;ITUANGO;Rural;Estrato 1;OFICIAL;A;MIXTO;D;0.5954;0.5706;0.6011;0.5818;0.6327;0.581;2
205361000430;I. E. R. LA PEREZ;7.258889;-75.799722;ANTIOQUIA;ITUANGO;Rural;Estrato 1;OFICIAL;A;MIXTO;D;0.5401;0.4984;0.5497;0.5477;0.5687;0.5281;2
205361001029;I. E. LUIS MARIA PRECIADO ECHAVARRIA;7.32095232;-75.61679839;ANTIOQUIA;ITUANGO;Rural;Estrato 1;OFICIAL;A;MIXTO;C;0.6207;0.6065;0.6279;0.6082;0.6535;0.5805;2
205364000163;I. E. R. KARMATAR⁄A;5.615478346;-75.87396447;ANTIOQUIA;JARDÕN;Rural;Estrato 1;OFICIAL;A;MIXTO;D;0.5944;0.5443;0.594;0.6074;0.6313;0.5967;2
205364000171;I. E.  DE DESARROLLO RURAL MIGUEL VALENCIA;5.591111;-75.841111;ANTIOQUIA;JARDÕN;Rural;Estrato 2;OFICIAL;A;MIXTO;C;0.6441;0.6412;0.6575;0.6263;0.6743;0.5755;1
205368000478;I. E. R. SAN FRANCISCO DE ASIS;5.770278;-75.733056;ANTIOQUIA;JERIC”;Rural;Estrato 2;OFICIAL;A;MIXTO;B;0.6718;0.6593;0.6792;0.6751;0.6972;0.6005;1
205376000070;I. E. FRANCISCO MARIA CARDONA;5.966211374;-75.48811317;ANTIOQUIA;LA CEJA;Rural;Estrato 2;OFICIAL;A;MIXTO;B;0.7137;0.7456;0.6973;0.6962;0.7135;0.7207;0
205380000050;I. E. ANA EVA ESCOBAR GONZALEZ;6.148611;-75.643889;ANTIOQUIA;LA ESTRELLA;Rural;Estrato 2;OFICIAL;A;MIXTO;B;0.6949;0.7039;0.6793;0.6737;0.7266;0.6832;0
